timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.7083,0.024;0.708;0.083;0.099;0.017;0.069,0
15501,00:00:15,2,background,0.6428,0.026;0.643;0.044;0.220;0.037;0.031,0
30541,00:00:30,3,background,0.8621,0.014;0.862;0.024;0.084;0.003;0.012,0
45581,00:00:45,4,background,0.8924,0.010;0.892;0.043;0.043;0.002;0.010,0
60621,00:01:00,5,background,0.7718,0.044;0.772;0.090;0.063;0.009;0.022,0
75661,00:01:15,6,background,0.3537,0.247;0.354;0.173;0.085;0.020;0.121,0
90703,00:01:30,7,background,0.8357,0.082;0.836;0.040;0.023;0.003;0.016,0
105741,00:01:45,8,background,0.7075,0.028;0.708;0.083;0.099;0.034;0.048,0
120781,00:02:00,9,background,0.7810,0.022;0.781;0.037;0.131;0.011;0.018,0
135821,00:02:15,10,background,0.7827,0.013;0.783;0.026;0.157;0.006;0.015,0
150861,00:02:30,11,background,0.7841,0.015;0.784;0.022;0.157;0.006;0.015,0
165901,00:02:45,12,background,0.8080,0.055;0.808;0.046;0.011;0.013;0.066,0
180941,00:03:00,13,background,0.5843,0.098;0.584;0.140;0.082;0.028;0.068,0
195984,00:03:15,14,background,0.7027,0.058;0.703;0.118;0.058;0.016;0.048,0
211021,00:03:31,15,background,0.6091,0.071;0.609;0.122;0.102;0.024;0.071,0
226061,00:03:46,16,background,0.6622,0.065;0.662;0.093;0.078;0.038;0.065,0
