timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.7528,0.025;0.753;0.074;0.088;0.009;0.052,0
15505,00:00:15,2,background,0.8333,0.011;0.833;0.028;0.117;0.003;0.008,0
30545,00:00:30,3,background,0.7442,0.021;0.744;0.051;0.149;0.010;0.025,0
45585,00:00:45,4,background,0.8255,0.011;0.825;0.028;0.116;0.004;0.016,0
60625,00:01:00,5,background,0.7435,0.021;0.744;0.030;0.178;0.007;0.021,0
75665,00:01:15,6,background,0.7718,0.026;0.772;0.009;0.185;0.001;0.007,0
90707,00:01:30,7,american_crow,0.9997,1.000;0.000;0.000;0.000;0.000;0.000,1
105991,00:01:45,8,background,0.8102,0.023;0.810;0.032;0.113;0.005;0.016,0
121041,00:02:01,9,background,0.8020,0.019;0.802;0.046;0.112;0.005;0.016,0
136081,00:02:16,10,background,0.6859,0.023;0.686;0.027;0.080;0.164;0.019,0
151122,00:02:31,11,background,0.9011,0.009;0.901;0.012;0.074;0.001;0.003,0
166161,00:02:46,12,background,0.8286,0.014;0.829;0.047;0.097;0.004;0.009,0
181201,00:03:01,13,background,0.6606,0.019;0.661;0.032;0.226;0.032;0.032,0
196244,00:03:16,14,background,0.8354,0.007;0.835;0.011;0.140;0.003;0.004,0
211282,00:03:31,15,background,0.6842,0.007;0.684;0.016;0.280;0.005;0.008,0
226322,00:03:46,16,western_meadowlark,0.9925,0.002;0.000;0.001;0.001;0.003;0.993,1
241609,00:04:01,17,background,0.9411,0.004;0.941;0.008;0.045;0.000;0.002,0
256658,00:04:16,18,background,0.9098,0.012;0.910;0.018;0.052;0.002;0.006,0
271698,00:04:31,19,background,0.9591,0.006;0.959;0.008;0.022;0.001;0.004,0
286738,00:04:46,20,background,0.7482,0.025;0.748;0.061;0.125;0.010;0.030,0
301780,00:05:01,21,background,0.9142,0.018;0.914;0.021;0.037;0.003;0.007,0
316818,00:05:16,22,background,0.8568,0.017;0.857;0.029;0.084;0.004;0.010,0
331858,00:05:31,23,background,0.6878,0.013;0.688;0.033;0.235;0.011;0.019,0
346898,00:05:46,24,background,0.7622,0.010;0.762;0.021;0.182;0.009;0.015,0
361938,00:06:01,25,background,0.8344,0.023;0.834;0.033;0.098;0.006;0.006,0
376978,00:06:16,26,background,0.8274,0.023;0.827;0.057;0.081;0.004;0.008,0
392018,00:06:32,27,background,0.8171,0.016;0.817;0.019;0.137;0.005;0.005,0
407060,00:06:47,28,background,0.8286,0.023;0.829;0.033;0.097;0.011;0.007,0
422098,00:07:02,29,background,0.8236,0.016;0.824;0.028;0.115;0.004;0.013,0
437138,00:07:17,30,background,0.7447,0.015;0.745;0.036;0.178;0.006;0.021,0
452178,00:07:32,31,background,0.7342,0.014;0.734;0.025;0.210;0.002;0.014,0
467218,00:07:47,32,background,0.9039,0.021;0.904;0.018;0.052;0.002;0.003,0
482258,00:08:02,33,background,0.8946,0.007;0.895;0.007;0.088;0.002;0.001,0
497298,00:08:17,34,background,0.8813,0.004;0.881;0.010;0.103;0.001;0.001,0
512340,00:08:32,35,background,0.7382,0.002;0.738;0.006;0.253;0.001;0.000,0
527378,00:08:47,36,background,0.8382,0.016;0.838;0.028;0.098;0.003;0.016,0
542418,00:09:02,37,background,0.7920,0.004;0.792;0.013;0.190;0.001;0.001,0
