timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.9795,0.011;0.980;0.007;0.001;0.000;0.001,0
15497,00:00:15,2,background,1.0000,0.000;1.000;0.000;0.000;0.000;0.000,0
30537,00:00:30,3,background,0.9920,0.004;0.992;0.002;0.002;0.000;0.000,0
45577,00:00:45,4,background,0.3130,0.052;0.313;0.021;0.262;0.262;0.090,0
60617,00:01:00,5,background,0.6235,0.025;0.623;0.017;0.149;0.036;0.149,0
75657,00:01:15,6,background,0.7323,0.025;0.732;0.017;0.147;0.029;0.050,0
90699,00:01:30,7,red_tailed_hawk,0.3476,0.024;0.291;0.012;0.243;0.348;0.083,0
105737,00:01:45,8,background,0.3101,0.021;0.310;0.010;0.310;0.259;0.089,0
120777,00:02:00,9,great_horned_owl,0.3684,0.025;0.258;0.007;0.368;0.215;0.126,0
135817,00:02:15,10,background,0.3124,0.031;0.312;0.009;0.312;0.261;0.075,0
150857,00:02:30,11,red_tailed_hawk,0.4921,0.034;0.168;0.020;0.168;0.492;0.118,0
165897,00:02:45,12,red_tailed_hawk,0.6709,0.011;0.094;0.005;0.192;0.671;0.027,1
181178,00:03:01,13,great_horned_owl,0.3913,0.022;0.274;0.009;0.391;0.191;0.112,0
196171,00:03:16,14,background,0.3748,0.021;0.375;0.009;0.313;0.153;0.128,0
211209,00:03:31,15,background,0.5746,0.033;0.575;0.019;0.197;0.080;0.096,0
226249,00:03:46,16,red_tailed_hawk,0.3279,0.027;0.192;0.019;0.160;0.328;0.274,0
241289,00:04:01,17,background,0.4373,0.021;0.437;0.010;0.366;0.105;0.061,0
256329,00:04:16,18,background,0.4117,0.034;0.412;0.014;0.241;0.201;0.099,0
271369,00:04:31,19,background,0.6241,0.179;0.624;0.036;0.104;0.006;0.051,0
286409,00:04:46,20,great_horned_owl,0.4194,0.020;0.172;0.012;0.419;0.293;0.084,0
301451,00:05:01,21,background,0.3587,0.021;0.359;0.008;0.300;0.210;0.103,0
316489,00:05:16,22,background,0.4553,0.031;0.455;0.013;0.318;0.091;0.091,0
331529,00:05:31,23,background,0.3408,0.082;0.341;0.023;0.199;0.117;0.238,0
346569,00:05:46,24,red_tailed_hawk,0.4039,0.023;0.198;0.040;0.198;0.404;0.138,0
361609,00:06:01,25,background,0.5686,0.016;0.569;0.011;0.278;0.080;0.047,0
376649,00:06:16,26,background,0.6016,0.084;0.602;0.049;0.120;0.024;0.120,0
391691,00:06:31,27,background,0.4051,0.040;0.405;0.019;0.339;0.116;0.081,0
406729,00:06:46,28,background,0.3809,0.053;0.381;0.022;0.266;0.091;0.186,0
421769,00:07:01,29,great_horned_owl,0.3861,0.032;0.270;0.013;0.386;0.110;0.189,0
436809,00:07:16,30,background,0.5382,0.015;0.538;0.018;0.263;0.090;0.075,0
451849,00:07:31,31,background,0.6179,0.035;0.618;0.021;0.211;0.042;0.072,0
466889,00:07:46,32,background,0.5701,0.027;0.570;0.027;0.233;0.047;0.095,0
481929,00:08:01,33,red_tailed_hawk,0.4252,0.029;0.085;0.042;0.122;0.425;0.297,0
496971,00:08:16,34,red_tailed_hawk,0.5140,0.006;0.008;0.017;0.025;0.514;0.430,1
512252,00:08:32,35,background,0.3148,0.013;0.315;0.009;0.315;0.129;0.220,0
527305,00:08:47,36,western_meadowlark,0.6486,0.011;0.018;0.063;0.037;0.222;0.649,1
542585,00:09:02,37,great_horned_owl,0.5206,0.015;0.364;0.007;0.521;0.043;0.051,0
557577,00:09:17,38,background,0.2923,0.020;0.292;0.020;0.292;0.204;0.171,0
572617,00:09:32,39,background,0.3325,0.016;0.332;0.016;0.278;0.080;0.278,0
587657,00:09:47,40,background,0.3851,0.018;0.385;0.011;0.322;0.132;0.132,0
602699,00:10:02,41,background,0.5297,0.018;0.530;0.015;0.259;0.052;0.127,0
617737,00:10:17,42,background,0.6200,0.025;0.620;0.021;0.212;0.036;0.087,0
632777,00:10:32,43,western_meadowlark,0.3572,0.020;0.299;0.029;0.209;0.085;0.357,0
647817,00:10:47,44,background,0.2710,0.016;0.271;0.013;0.271;0.159;0.271,0
662857,00:11:02,45,background,0.7682,0.044;0.768;0.022;0.108;0.006;0.053,0
677897,00:11:17,46,background,0.6397,0.021;0.640;0.018;0.219;0.013;0.090,0
692939,00:11:32,47,background,0.4170,0.017;0.417;0.010;0.417;0.070;0.070,0
707977,00:11:47,48,background,0.5109,0.014;0.511;0.012;0.299;0.042;0.122,0
723017,00:12:03,49,background,0.3522,0.017;0.352;0.010;0.295;0.206;0.121,0
738057,00:12:18,50,background,0.4480,0.026;0.448;0.021;0.262;0.090;0.153,0
753097,00:12:33,51,background,0.2852,0.023;0.285;0.023;0.285;0.285;0.098,0
768137,00:12:48,52,background,0.2894,0.024;0.289;0.014;0.242;0.142;0.289,0
783177,00:13:03,53,background,0.5405,0.022;0.541;0.018;0.221;0.108;0.090,0
798219,00:13:18,54,background,0.3949,0.019;0.395;0.013;0.276;0.162;0.135,0
813257,00:13:33,55,red_tailed_hawk,0.5457,0.011;0.076;0.009;0.267;0.546;0.091,1
828545,00:13:48,56,great_horned_owl,0.4007,0.016;0.280;0.011;0.401;0.196;0.096,0
843593,00:14:03,57,great_horned_owl,0.3840,0.015;0.269;0.013;0.384;0.131;0.188,0
858633,00:14:18,58,western_meadowlark,0.3213,0.015;0.157;0.013;0.269;0.225;0.321,0
873673,00:14:33,59,red_tailed_hawk,0.3764,0.022;0.075;0.022;0.129;0.376;0.376,0
888713,00:14:48,60,great_horned_owl,0.3462,0.003;0.099;0.003;0.346;0.346;0.202,0
903755,00:15:03,61,background,0.7991,0.046;0.799;0.013;0.078;0.009;0.055,0
918793,00:15:18,62,background,0.4226,0.024;0.423;0.017;0.247;0.145;0.145,0
933833,00:15:33,63,great_horned_owl,0.3900,0.019;0.273;0.008;0.390;0.273;0.038,0
948873,00:15:48,64,great_horned_owl,0.3734,0.015;0.218;0.006;0.373;0.312;0.075,0
963913,00:16:03,65,background,0.4254,0.029;0.425;0.024;0.298;0.122;0.102,0
978953,00:16:18,66,background,0.4583,0.022;0.458;0.013;0.321;0.110;0.077,0
993995,00:16:33,67,great_horned_owl,0.3464,0.024;0.203;0.012;0.346;0.346;0.069,0
1009033,00:16:49,68,great_horned_owl,0.3242,0.022;0.271;0.019;0.324;0.271;0.093,0
1024073,00:17:04,69,background,0.3472,0.024;0.347;0.020;0.203;0.203;0.203,0
1039113,00:17:19,70,background,0.3570,0.024;0.357;0.020;0.250;0.299;0.050,0
1054153,00:17:34,71,background,0.4355,0.025;0.435;0.010;0.364;0.104;0.061,0
1069193,00:17:49,72,background,0.5348,0.026;0.535;0.018;0.219;0.128;0.075,0
