timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.8086,0.039;0.809;0.079;0.046;0.005;0.023,0
15498,00:00:15,2,california_quail,0.9762,0.023;0.001;0.976;0.000;0.000;0.000,1
30778,00:00:30,3,california_quail,0.9997,0.000;0.000;1.000;0.000;0.000;0.000,1
46011,00:00:46,4,american_crow,0.9836,0.984;0.002;0.007;0.001;0.007;0.001,1
61242,00:01:01,5,american_crow,0.9988,0.999;0.000;0.000;0.000;0.001;0.000,1
76481,00:01:16,6,red_tailed_hawk,0.9989,0.000;0.000;0.000;0.001;0.999;0.000,1
91785,00:01:31,7,red_tailed_hawk,0.9666,0.005;0.005;0.002;0.013;0.967;0.009,1
107084,00:01:47,8,background,0.7777,0.045;0.778;0.053;0.091;0.007;0.026,0
122122,00:02:02,9,background,0.9283,0.022;0.928;0.026;0.018;0.001;0.005,0
137164,00:02:17,10,western_meadowlark,0.9387,0.008;0.015;0.003;0.009;0.026;0.939,1
152460,00:02:32,11,western_meadowlark,0.9998,0.000;0.000;0.000;0.000;0.000;1.000,1
