timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.8495,0.020;0.849;0.058;0.041;0.003;0.028,0
15505,00:00:15,2,background,0.7727,0.007;0.773;0.018;0.185;0.002;0.015,0
30545,00:00:30,3,background,0.8945,0.012;0.894;0.036;0.051;0.004;0.002,0
45585,00:00:45,4,background,0.6792,0.027;0.679;0.056;0.194;0.011;0.033,0
60625,00:01:00,5,background,0.7762,0.026;0.776;0.064;0.109;0.007;0.018,0
75665,00:01:15,6,california_quail,0.9729,0.002;0.023;0.973;0.001;0.001;0.000,1
90955,00:01:30,7,california_quail,0.9769,0.001;0.013;0.977;0.007;0.002;0.000,1
106251,00:01:46,8,background,0.8052,0.019;0.805;0.027;0.135;0.003;0.011,0
121297,00:02:01,9,red_tailed_hawk,0.4267,0.024;0.250;0.029;0.250;0.427;0.020,0
136337,00:02:16,10,background,0.7672,0.031;0.767;0.053;0.128;0.006;0.015,0
151377,00:02:31,11,red_tailed_hawk,0.9826,0.002;0.002;0.008;0.005;0.983;0.001,1
166662,00:02:46,12,red_tailed_hawk,0.9491,0.001;0.005;0.006;0.032;0.949;0.006,1
181971,00:03:01,13,background,0.7273,0.005;0.727;0.017;0.146;0.003;0.102,0
197011,00:03:17,14,background,0.7731,0.003;0.773;0.006;0.031;0.002;0.185,0
212049,00:03:32,15,great_horned_owl,0.6045,0.035;0.207;0.059;0.604;0.071;0.024,1
227348,00:03:47,16,background,0.9511,0.008;0.951;0.008;0.032;0.000;0.002,0
242385,00:04:02,17,background,0.8247,0.005;0.825;0.008;0.081;0.001;0.081,0
257425,00:04:17,18,background,0.8652,0.020;0.865;0.029;0.071;0.003;0.012,0
272465,00:04:32,19,great_horned_owl,0.6633,0.003;0.324;0.006;0.663;0.001;0.002,1
287769,00:04:47,20,background,0.4939,0.002;0.494;0.008;0.494;0.001;0.002,0
