timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.9669,0.005;0.967;0.009;0.016;0.000;0.002,0
15505,00:00:15,2,background,0.9994,0.000;0.999;0.000;0.000;0.000;0.000,0
30545,00:00:30,3,background,0.9998,0.000;1.000;0.000;0.000;0.000;0.000,0
45585,00:00:45,4,background,0.9642,0.013;0.964;0.019;0.001;0.001;0.002,0
60625,00:01:00,5,background,0.9947,0.002;0.995;0.003;0.000;0.000;0.000,0
75665,00:01:15,6,background,0.6244,0.030;0.624;0.087;0.149;0.036;0.073,0
90707,00:01:30,7,western_meadowlark,0.6916,0.009;0.057;0.138;0.047;0.057;0.692,1
105990,00:01:45,8,background,0.6883,0.081;0.688;0.138;0.056;0.009;0.028,0
121041,00:02:01,9,background,0.4298,0.060;0.430;0.210;0.210;0.029;0.060,0
136081,00:02:16,10,western_meadowlark,0.3911,0.022;0.134;0.112;0.112;0.229;0.391,0
151121,00:02:31,11,western_meadowlark,0.6330,0.004;0.030;0.025;0.127;0.181;0.633,1
166410,00:02:46,12,red_tailed_hawk,0.3908,0.011;0.032;0.011;0.229;0.391;0.327,0
181457,00:03:01,13,red_tailed_hawk,0.5734,0.002;0.019;0.007;0.164;0.573;0.235,1
196744,00:03:16,14,red_tailed_hawk,0.8145,0.001;0.005;0.005;0.095;0.814;0.080,1
212052,00:03:32,15,background,0.9808,0.002;0.981;0.013;0.003;0.000;0.000,0
227089,00:03:47,16,background,0.7054,0.014;0.705;0.040;0.169;0.014;0.058,0
242129,00:04:02,17,red_tailed_hawk,0.3594,0.014;0.086;0.029;0.210;0.359;0.301,0
257169,00:04:17,18,background,0.9950,0.001;0.995;0.001;0.003;0.000;0.000,0
272209,00:04:32,19,california_quail,0.3708,0.259;0.310;0.371;0.036;0.015;0.009,0
287249,00:04:47,20,western_meadowlark,0.4557,0.037;0.223;0.045;0.130;0.109;0.456,0
302288,00:05:02,21,red_tailed_hawk,0.3620,0.014;0.177;0.087;0.148;0.362;0.212,0
317329,00:05:17,22,red_tailed_hawk,0.5020,0.012;0.059;0.017;0.205;0.502;0.205,1
332656,00:05:32,23,red_tailed_hawk,0.4119,0.012;0.141;0.099;0.169;0.412;0.169,0
347665,00:05:47,24,red_tailed_hawk,0.5383,0.018;0.108;0.220;0.063;0.538;0.053,1
362968,00:06:02,25,background,0.5146,0.176;0.515;0.029;0.103;0.001;0.176,0
378001,00:06:18,26,background,0.3820,0.053;0.382;0.223;0.223;0.026;0.091,0
393043,00:06:33,27,background,0.7713,0.026;0.771;0.037;0.108;0.005;0.053,0
408081,00:06:48,28,background,0.4255,0.017;0.426;0.029;0.208;0.071;0.249,0
423121,00:07:03,29,background,0.5366,0.026;0.537;0.018;0.184;0.053;0.184,0
438161,00:07:18,30,background,0.5067,0.059;0.507;0.085;0.145;0.059;0.145,0
453201,00:07:33,31,great_horned_owl,0.7231,0.008;0.041;0.041;0.723;0.085;0.101,1
468502,00:07:48,32,background,0.3456,0.289;0.346;0.169;0.099;0.028;0.069,0
483537,00:08:03,33,background,0.4738,0.011;0.474;0.023;0.331;0.066;0.095,0
498579,00:08:18,34,background,0.6830,0.019;0.683;0.013;0.137;0.011;0.137,0
513617,00:08:33,35,western_meadowlark,0.4479,0.044;0.183;0.128;0.090;0.107;0.448,0
528657,00:08:48,36,background,0.8761,0.035;0.876;0.025;0.060;0.001;0.003,0
543697,00:09:03,37,background,0.4808,0.019;0.481;0.056;0.402;0.002;0.039,0
558737,00:09:18,38,western_meadowlark,0.5264,0.012;0.105;0.025;0.180;0.151;0.526,1
574048,00:09:34,39,western_meadowlark,0.4254,0.012;0.042;0.122;0.102;0.298;0.425,0
589075,00:09:49,40,western_meadowlark,0.9469,0.003;0.008;0.005;0.019;0.019;0.947,1
604382,00:10:04,41,western_meadowlark,0.9393,0.001;0.005;0.002;0.031;0.022;0.939,1
619681,00:10:19,42,great_horned_owl,0.4350,0.051;0.304;0.051;0.435;0.010;0.149,0
634705,00:10:34,43,western_meadowlark,0.6393,0.004;0.128;0.002;0.219;0.009;0.639,1
650014,00:10:50,44,great_horned_owl,0.5872,0.000;0.069;0.000;0.587;0.001;0.343,1
665321,00:11:05,45,western_meadowlark,0.9944,0.000;0.000;0.000;0.005;0.001;0.994,1
680616,00:11:20,46,western_meadowlark,0.8508,0.000;0.006;0.000;0.142;0.001;0.851,1
695912,00:11:35,47,great_horned_owl,0.6445,0.000;0.018;0.000;0.645;0.022;0.315,1
711206,00:11:51,48,red_tailed_hawk,0.3688,0.001;0.012;0.001;0.308;0.369;0.308,0
726225,00:12:06,49,western_meadowlark,0.8304,0.001;0.016;0.003;0.116;0.033;0.830,1
741552,00:12:21,50,western_meadowlark,0.7741,0.002;0.130;0.018;0.063;0.013;0.774,1
756847,00:12:36,51,western_meadowlark,0.8545,0.002;0.012;0.007;0.041;0.084;0.855,1
772144,00:12:52,52,red_tailed_hawk,0.3175,0.013;0.109;0.022;0.222;0.317;0.317,0
787155,00:13:07,53,western_meadowlark,0.4188,0.007;0.070;0.034;0.120;0.350;0.419,0
802193,00:13:22,54,red_tailed_hawk,0.8671,0.005;0.007;0.012;0.024;0.867;0.085,1
817521,00:13:37,55,american_crow,0.2704,0.270;0.226;0.077;0.270;0.045;0.111,0
832529,00:13:52,56,background,0.5306,0.127;0.531;0.182;0.074;0.012;0.074,0
847569,00:14:07,57,great_horned_owl,0.9110,0.015;0.044;0.005;0.911;0.010;0.015,1
862905,00:14:22,58,great_horned_owl,0.5126,0.123;0.251;0.060;0.513;0.012;0.042,1
878200,00:14:38,59,california_quail,0.8814,0.021;0.042;0.881;0.014;0.021;0.021,1
893497,00:14:53,60,background,0.3907,0.027;0.391;0.032;0.229;0.093;0.229,0
908497,00:15:08,61,red_tailed_hawk,0.6674,0.011;0.038;0.046;0.078;0.667;0.160,1
923831,00:15:23,62,western_meadowlark,0.3529,0.029;0.173;0.049;0.101;0.295;0.353,0
938833,00:15:38,63,background,0.4828,0.023;0.483;0.023;0.236;0.138;0.097,0
953873,00:15:53,64,great_horned_owl,0.4877,0.008;0.117;0.005;0.488;0.285;0.098,1
969217,00:16:09,65,background,0.4745,0.023;0.474;0.056;0.232;0.079;0.136,0
984275,00:16:24,66,background,0.9053,0.015;0.905;0.004;0.074;0.000;0.002,0
999313,00:16:39,67,background,0.9995,0.000;0.999;0.000;0.000;0.000;0.000,0
1014353,00:16:54,68,california_quail,0.7401,0.025;0.177;0.740;0.042;0.007;0.008,1
1029695,00:17:09,69,background,0.9654,0.008;0.965;0.008;0.016;0.000;0.003,0
