timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.7467,0.017;0.747;0.051;0.125;0.009;0.051,0
15505,00:00:15,2,western_meadowlark,0.6130,0.035;0.029;0.175;0.025;0.123;0.613,1
30795,00:00:30,3,background,0.6819,0.013;0.682;0.039;0.233;0.013;0.019,0
45841,00:00:45,4,background,0.8332,0.011;0.833;0.020;0.117;0.006;0.014,0
60881,00:01:00,5,background,0.7889,0.018;0.789;0.045;0.132;0.006;0.009,0
75921,00:01:15,6,red_tailed_hawk,0.5224,0.021;0.179;0.010;0.256;0.522;0.012,0
90963,00:01:30,7,background,0.6986,0.010;0.699;0.020;0.239;0.014;0.020,0
106001,00:01:46,8,background,0.8508,0.008;0.851;0.014;0.119;0.002;0.006,0
121041,00:02:01,9,background,0.8165,0.027;0.817;0.039;0.096;0.005;0.016,0
136081,00:02:16,10,background,0.8482,0.012;0.848;0.028;0.099;0.003;0.010,0
151121,00:02:31,11,background,0.6145,0.014;0.614;0.029;0.301;0.021;0.021,0
