timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.7183,0.020;0.718;0.059;0.144;0.010;0.049,0
15502,00:00:15,2,background,0.7818,0.018;0.782;0.022;0.156;0.006;0.015,0
30542,00:00:30,3,background,0.7602,0.015;0.760;0.025;0.182;0.005;0.012,0
45582,00:00:45,4,background,0.7020,0.028;0.702;0.034;0.168;0.028;0.040,0
60622,00:01:00,5,background,0.8369,0.010;0.837;0.028;0.117;0.003;0.006,0
75662,00:01:15,6,background,0.7408,0.025;0.741;0.035;0.177;0.007;0.015,0
