timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
919310,00:15:19,62,background,0.7021,0.010;0.702;0.016;0.240;0.008;0.024,0
934347,00:15:34,63,background,0.5243,0.012;0.524;0.010;0.367;0.025;0.061,0
949386,00:15:49,64,background,0.4153,0.010;0.415;0.012;0.415;0.099;0.049,0
964426,00:16:04,65,background,0.4627,0.022;0.463;0.054;0.226;0.045;0.189,0
979466,00:16:19,66,background,0.6535,0.009;0.653;0.013;0.267;0.031;0.026,0
994506,00:16:34,67,background,0.4407,0.021;0.441;0.030;0.308;0.074;0.126,0
1009548,00:16:49,68,background,0.5338,0.021;0.534;0.018;0.312;0.052;0.062,0
1024586,00:17:04,69,background,0.6039,0.007;0.604;0.005;0.353;0.017;0.014,0
1039626,00:17:19,70,background,0.6465,0.013;0.646;0.018;0.221;0.026;0.076,0
1054666,00:17:34,71,western_meadowlark,0.4645,0.054;0.159;0.019;0.272;0.032;0.465,1
1069963,00:17:49,72,background,0.7207,0.010;0.721;0.012;0.206;0.017;0.035,0
1085002,00:18:05,73,great_horned_owl,0.4122,0.010;0.345;0.017;0.412;0.169;0.048,0
1100042,00:18:20,74,background,0.7930,0.019;0.793;0.019;0.133;0.005;0.032,0
1115084,00:18:35,75,background,0.5248,0.012;0.525;0.009;0.367;0.036;0.051,0
1130122,00:18:50,76,western_meadowlark,0.5894,0.017;0.040;0.017;0.169;0.169;0.589,1
1145427,00:19:05,77,background,0.4366,0.009;0.437;0.006;0.437;0.051;0.061,0
1160458,00:19:20,78,background,0.5281,0.010;0.528;0.010;0.369;0.030;0.052,0
1175498,00:19:35,79,background,0.5815,0.011;0.581;0.014;0.340;0.014;0.040,0
1190538,00:19:50,80,background,0.5759,0.016;0.576;0.013;0.282;0.056;0.056,0
1205578,00:20:05,81,background,0.3908,0.019;0.391;0.038;0.327;0.065;0.160,0
1220620,00:20:20,82,background,0.6289,0.009;0.629;0.009;0.308;0.021;0.025,0
1235658,00:20:35,83,background,0.5396,0.015;0.540;0.005;0.377;0.026;0.037,0
1250698,00:20:50,84,background,0.5654,0.011;0.565;0.008;0.331;0.019;0.066,0
1265738,00:21:05,85,western_meadowlark,0.3777,0.015;0.185;0.053;0.185;0.185;0.378,0
1280778,00:21:20,86,background,0.4169,0.012;0.417;0.014;0.417;0.041;0.100,0
1295818,00:21:35,87,western_meadowlark,0.3310,0.016;0.231;0.066;0.194;0.162;0.331,0
1310860,00:21:50,88,background,0.5067,0.012;0.507;0.014;0.296;0.050;0.121,0
1325898,00:22:05,89,background,0.4450,0.018;0.445;0.030;0.311;0.089;0.106,0
1340938,00:22:20,90,background,0.5142,0.012;0.514;0.021;0.301;0.029;0.123,0
1355978,00:22:35,91,background,0.6318,0.010;0.632;0.015;0.216;0.021;0.106,0
1371018,00:22:51,92,background,0.4889,0.016;0.489;0.023;0.286;0.068;0.117,0
1386058,00:23:06,93,western_meadowlark,0.4383,0.018;0.125;0.025;0.179;0.214;0.438,0
1401098,00:23:21,94,background,0.6126,0.021;0.613;0.025;0.175;0.021;0.147,0
1416140,00:23:36,95,background,0.5061,0.017;0.506;0.014;0.354;0.050;0.059,0
1431178,00:23:51,96,background,0.4928,0.020;0.493;0.024;0.288;0.058;0.118,0
1446218,00:24:06,97,background,0.3790,0.015;0.379;0.013;0.317;0.091;0.185,0
1461258,00:24:21,98,background,0.6794,0.011;0.679;0.019;0.232;0.019;0.039,0
1476298,00:24:36,99,background,0.4767,0.019;0.477;0.016;0.279;0.095;0.114,0
1491338,00:24:51,100,background,0.6109,0.020;0.611;0.014;0.299;0.020;0.035,0
1506378,00:25:06,101,background,0.6127,0.025;0.613;0.017;0.210;0.050;0.086,0
1521420,00:25:21,102,background,0.7301,0.029;0.730;0.020;0.146;0.014;0.060,0
1536458,00:25:36,103,background,0.7763,0.044;0.776;0.026;0.109;0.007;0.037,0
1551498,00:25:51,104,background,0.8716,0.020;0.872;0.012;0.085;0.002;0.008,0
1566538,00:26:06,105,background,0.9071,0.009;0.907;0.003;0.074;0.001;0.006,0
1581578,00:26:21,106,background,0.7774,0.022;0.777;0.026;0.130;0.007;0.037,0
1596618,00:26:36,107,background,0.5064,0.010;0.506;0.012;0.423;0.007;0.041,0
1611660,00:26:51,108,background,0.6435,0.011;0.643;0.031;0.263;0.015;0.037,0
1626698,00:27:06,109,background,0.4887,0.007;0.489;0.008;0.409;0.048;0.040,0
1641738,00:27:21,110,background,0.7413,0.012;0.741;0.015;0.177;0.012;0.042,0
1656778,00:27:36,111,background,0.5118,0.020;0.512;0.035;0.250;0.060;0.122,0
1671818,00:27:51,112,background,0.4735,0.016;0.473;0.019;0.277;0.079;0.135,0
1686858,00:28:06,113,background,0.7688,0.026;0.769;0.004;0.108;0.004;0.090,0
1701898,00:28:21,114,background,0.7814,0.006;0.781;0.007;0.187;0.003;0.015,0
1716940,00:28:36,115,background,0.6892,0.014;0.689;0.096;0.096;0.008;0.096,0
1731978,00:28:51,116,background,0.4782,0.013;0.478;0.013;0.400;0.039;0.056,0
1747018,00:29:07,117,background,0.5243,0.010;0.524;0.012;0.367;0.025;0.061,0
1762058,00:29:22,118,background,0.5472,0.018;0.547;0.026;0.268;0.064;0.077,0
1777098,00:29:37,119,background,0.5544,0.009;0.554;0.016;0.324;0.032;0.065,0
1792138,00:29:52,120,background,0.4549,0.018;0.455;0.018;0.380;0.037;0.091,0
1807180,00:30:07,121,background,0.5972,0.024;0.597;0.017;0.244;0.034;0.084,0
1822218,00:30:22,122,background,0.8922,0.030;0.892;0.012;0.043;0.002;0.021,0
1837258,00:30:37,123,background,0.8050,0.019;0.805;0.016;0.094;0.011;0.055,0
1852298,00:30:52,124,background,0.5248,0.012;0.525;0.021;0.307;0.061;0.073,0
1867338,00:31:07,125,background,0.5051,0.007;0.505;0.004;0.422;0.020;0.041,0
1882378,00:31:22,126,background,0.6382,0.018;0.638;0.015;0.218;0.021;0.089,0
1897418,00:31:37,127,background,0.4173,0.014;0.417;0.020;0.349;0.100;0.100,0
1912460,00:31:52,128,background,0.5978,0.008;0.598;0.004;0.350;0.012;0.029,0
1927498,00:32:07,129,great_horned_owl,0.5475,0.009;0.268;0.008;0.547;0.092;0.077,0
1942538,00:32:22,130,background,0.4465,0.010;0.446;0.018;0.373;0.089;0.062,0
1957578,00:32:37,131,background,0.5174,0.021;0.517;0.012;0.303;0.087;0.061,0
1972618,00:32:52,132,background,0.4352,0.012;0.435;0.012;0.304;0.149;0.087,0
1987658,00:33:07,133,western_meadowlark,0.3335,0.013;0.163;0.016;0.279;0.195;0.334,0
2002698,00:33:22,134,background,0.8833,0.007;0.883;0.002;0.103;0.000;0.004,0
2017740,00:33:37,135,background,0.4552,0.006;0.455;0.009;0.455;0.037;0.037,0
2032778,00:33:52,136,red_tailed_hawk,0.4641,0.022;0.065;0.013;0.325;0.464;0.111,0
2047818,00:34:07,137,background,0.8442,0.007;0.844;0.004;0.118;0.003;0.024,0
2062858,00:34:22,138,background,0.6258,0.009;0.626;0.009;0.306;0.021;0.030,0
